ID,nums
1,3
5,3
6,5
7,3
8,2
9,2
10,1
11,1
15,1
18,7
21,2
24,3
25,2
26,1
28,1
29,3
32,1
33,7
34,3
35,2
36,4
38,2
39,2
42,3
49,5
54,1
55,1
56,3
58,44
60,16
62,3
64,4
65,2
66,4
68,1
70,4
72,4
74,4
75,1
76,1
77,8
78,3
80,10
81,4
85,2
89,3
90,1
92,1
93,1
95,2
102,24
103,7
106,3
108,1
109,3
110,8
111,1
117,6
118,3
119,2
120,3
121,1
122,1
123,4
125,4
129,22
130,2
131,4
136,6
139,4
140,1
141,3
144,2
145,1
147,2
149,2
152,20
153,1
154,3
156,1
157,2
160,4
164,3
165,3
167,1
169,1
174,2
176,2
177,1
178,1
179,1
180,3
183,2
184,3
189,2
190,7
194,1
195,1
198,6
200,4
203,3
207,2
210,3
211,4
212,6
213,1
214,1
215,1
216,2
218,10
219,6
220,2
221,18
222,2
223,1
225,1
226,1
228,2
230,1
233,3
234,18
236,3
237,1
240,7
241,1
244,26
247,2
248,2
249,5
250,3
251,9
253,3
254,3
255,3
256,1
257,2
258,5
263,3
264,2
265,4
267,1
269,3
270,1
272,3
273,1
275,11
276,1
278,1
283,3
284,6
287,1
291,2
292,2
294,1
295,4
297,2
307,1
308,9
310,19
311,1
312,2
316,2
322,3
326,1
330,8
333,2
334,1
336,1
337,3
338,3
342,3
350,2
353,7
354,1
355,1
357,2
361,1
364,5
366,2
367,2
368,2
370,7
373,2
377,2
381,2
384,1
388,4
389,1
390,1
394,2
395,11
396,5
397,4
398,2
399,7
401,3
402,9
404,3
408,5
409,5
410,1
411,5
412,18
414,5
416,6
417,2
418,10
419,14
420,10
421,8
423,17
424,2
425,2
428,1
429,3
431,2
436,2
439,1
440,4
441,4
442,2
444,1
445,2
455,1
456,4
457,1
458,1
462,8
468,2
469,1
470,4
474,10
478,2
479,5
481,1
482,4
485,1
486,8
488,40
489,2
490,20
491,4
492,1
493,3
494,2
495,2
497,4
500,17
501,1
503,3
504,3
505,2
506,1
507,14
508,7
510,6
512,15
513,3
514,17
515,9
519,5
520,5
523,2
524,3
528,2
531,3
532,15
535,21
536,2
537,1
538,5
539,8
540,1
543,1
544,5
547,6
548,1
550,1
551,1
552,3
554,10
555,1
556,1
557,1
558,10
560,1
561,4
562,3
563,3
564,2
565,2
566,4
567,3
568,36
570,4
571,1
572,38
575,10
577,1
579,1
580,6
581,26
584,2
586,16
588,8
589,2
590,3
593,2
594,5
595,11
596,1
597,3
599,2
602,15
605,1
606,2
610,16
614,69
617,1
618,1
619,2
622,6
623,3
626,1
631,11
633,3
634,12
638,1
640,1
641,10
642,2
643,1
644,8
651,1
652,1
654,3
655,8
656,6
657,12
658,3
660,2
661,1
663,9
664,4
665,4
669,3
671,4
674,7
677,1
678,1
679,19
682,2
683,1
684,6
685,5
686,6
687,1
690,8
691,3
692,5
694,18
696,9
697,8
700,1
701,4
702,5
707,3
708,2
711,3
713,3
715,4
717,1
718,7
719,20
724,1
725,3
726,13
727,8
728,10
729,1
732,2
733,2
734,1
735,6
738,2
742,3
744,5
753,1
754,4
756,2
758,2
764,8
766,1
767,5
768,2
769,3
772,2
773,2
775,1
776,2
777,5
780,1
782,5
784,2
785,1
786,2
788,4
789,2
792,17
793,10
795,9
796,17
798,6
800,2
801,9
802,10
813,1
815,10
816,6
817,5
818,5
820,6
822,4
823,6
824,3
825,5
828,1
829,1
